outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
FINNGEN_R5_N14_GENITOURINARY	Genitourinary diseases	3	EFO_0009663	FinnGEN
FINNGEN_R5_K11_GIDISEASES	Gastrointestinal diseases	7	EFO_0010282	FinnGEN
FINNGEN_R5_K11_INTESTOTH	Other diseases of intestines	2	EFO_0009431	FinnGEN
FINNGEN_R5_C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	1	MONDO_0002516	FinnGEN
FINNGEN_R5_C3_ENDOCRINE	Malignant neoplasm of endocrine gland	4	MONDO_0021069	FinnGEN
FINNGEN_R5_C3_THYROID_GLAND	Malignant neoplasm of thyroid gland	4	EFO_0002892	FinnGEN
FINNGEN_R5_J10_INTERSTITIUM	Other respiratory diseases principally affecting the interstitium	7	EFO_0004244	FinnGEN
FINNGEN_R5_M13_PSORIARTH_ICD10	Psoriatic arthropathies, ICD10	3	EFO_0003778	FinnGEN
FINNGEN_R5_RX_RHEUMA_BIOLOGICAL	Biological medication for rheuma	6	EFO_0005755, GO_0042493	FinnGEN
NEALE2_20002_1114	Bronchiectasis | non-cancer illness code, self-reported	4	HP_0002110	UK Biobank
NEALE2_20002_1494	Varicose veins | non-cancer illness code, self-reported	4	HP_0002619	UK Biobank
NEALE2_20002_1511	Abdominal hernia | non-cancer illness code, self-reported	4	HP_0004299	UK Biobank
NEALE2_20002_1513	Inguinal hernia | non-cancer illness code, self-reported	4	HP_0000023	UK Biobank
NEALE2_20003_1140851812	Gtn 400micrograms spray | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140860834	Glyceryl trinitrate | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140860976	Imdur 60mg durule | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140865416	Colpermin 0.2ml m/r gel e/c capsule | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140866466	Securon 40mg tablet | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140867888	Paroxetine | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140874790	Betamethasone | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140874866	Carbimazole | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140875420	Baclofen | treatment/medication code	4	EFO_0007010	UK Biobank
